# t (s)	mx ()	my ()	mz ()
5.420224181687296e-09	-3.8143917e-06	-7.695053e-07	0.97490543
5.429996917763891e-09	2.6000198e-06	-7.299241e-08	0.9749054
5.439770343669865e-09	-3.8128055e-06	-7.1455725e-07	0.9749053
5.450764498383323e-09	2.4786423e-06	5.355105e-09	0.9749054
5.460537485405654e-09	-3.745925e-06	-7.9858e-07	0.9749054
5.470310920052937e-09	2.5538175e-06	-4.02797e-08	0.9749054
5.4800841378986814e-09	-3.789828e-06	-7.489871e-07	0.9749053
5.489857041066501e-09	2.5641348e-06	-9.289943e-08	0.9749054
5.5008520292011415e-09	-3.6493002e-06	-8.23522e-07	0.9749053
5.510625352056992e-09	2.476474e-06	-1.132139e-08	0.97490543
5.520398808102509e-09	-3.73683e-06	-7.8068115e-07	0.9749053
5.530171888856166e-09	2.5317859e-06	-5.9226295e-08	0.9749053
5.539944972871122e-09	-3.7601567e-06	-7.30186e-07	0.9749054
5.550939546226012e-09	2.371482e-06	1.1641532e-08	0.9749054
5.56071309608278e-09	-3.6528363e-06	-8.0879545e-07	0.9749054
5.570486113024677e-09	2.4707842e-06	-2.9802322e-08	0.9749053
5.580259220497955e-09	-3.7194259e-06	-7.6327706e-07	0.9749054
5.590032363052604e-09	2.507004e-06	-7.892959e-08	0.9749053
5.599805345878463e-09	-3.7226127e-06	-7.1013346e-07	0.9749054
5.61080008242381e-09	2.3814937e-06	-3.5797711e-09	0.9749054
5.620573316733236e-09	-3.6493293e-06	-7.903436e-07	0.9749053
5.630346466208759e-09	2.4599867e-06	-4.6216883e-08	0.9749053
5.640119300554521e-09	-3.697016e-06	-7.424096e-07	0.9749054
5.649892545025092e-09	2.4754554e-06	-9.627547e-08	0.9749054
5.660887395148444e-09	-3.5527337e-06	-8.137431e-07	0.9749053
5.6706605228944156e-09	2.3821049e-06	-1.8277206e-08	0.9749053
5.680433946316127e-09	-3.6433776e-06	-7.721246e-07	0.97490543
5.690206678937907e-09	2.4406763e-06	-6.449409e-08	0.9749054
5.699979793423898e-09	-3.6712736e-06	-7.2363764e-07	0.9749053
5.710974315260778e-09	2.277855e-06	3.929017e-09	0.9749054
5.7207479309744285e-09	-3.5596604e-06	-7.9895835e-07	0.9749053
5.730521332490304e-09	2.3785833e-06	-3.617606e-08	0.9749054
5.740294698408574e-09	-3.6289857e-06	-7.551862e-07	0.97490543
5.750067476210608e-09	2.4191104e-06	-8.335337e-08	0.9749054
5.7598410176644144e-09	-3.6374986e-06	-7.043127e-07	0.9749054
5.770835643646514e-09	2.288667e-06	-1.0593794e-08	0.9749054
5.780608659717274e-09	-3.5583944e-06	-7.82049e-07	0.9749054
5.7903819710583055e-09	2.3701723e-06	-5.1921234e-08	0.97490543
5.800155010637628e-09	-3.6100973e-06	-7.3574483e-07	0.9749053
5.809928250661491e-09	2.3904577e-06	-1.0058284e-07	0.9749054
5.820923097968041e-09	-3.4618279e-06	-8.047791e-07	0.9749054
5.830696252529271e-09	2.292465e-06	-2.5553163e-08	0.9749054
5.840468858709533e-09	-3.554087e-06	-7.650815e-07	0.9749053
5.850242029129538e-09	2.3545872e-06	-6.926712e-08	0.9749054
5.860015505556558e-09	-3.5869452e-06	-7.181079e-07	0.9749054
5.869788725737998e-09	2.3562898e-06	-1.1944212e-07	0.9749053
5.880782983888005e-09	-3.4707336e-06	-7.9046004e-07	0.9749053
5.890556167271716e-09	2.291199e-06	-4.2375177e-08	0.9749053
5.900329245622046e-09	-3.5431294e-06	-7.485505e-07	0.9749053
5.910102178673481e-09	2.3355096e-06	-8.754432e-08	0.9749054
5.919875386635399e-09	-3.5564153e-06	-6.9953967e-07	0.9749054
5.930870146893188e-09	2.2011227e-06	-1.7520506e-08	0.9749053
5.94064336662015e-09	-3.4725963e-06	-7.744329e-07	0.9749054
5.950416872153259e-09	2.2848399e-06	-5.7567377e-08	0.9749054
5.960189354771248e-09	-3.5274425e-06	-7.3038973e-07	0.9749054
5.9699618777079905e-09	2.3091125e-06	-1.0506483e-07	0.9749053
